name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Alvin Kamara,NO,DET,5500,7.65,11,Q,Knee - mcl,NO@DET,False,True,21.25,49.5,7.0,False,-7.0,23,TOUGH,18.5,94.0,0.75,26.5,6.5,2.0,0.303,230,7.0,1.27,5.03,0.91,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kenny Gainwell,TB,CIN,5500,10.63,18,,,TB@CIN,False,False,23.5,50.5,3.5,False,-3.5,4,SMASH,24.6,113.2,0.7,42.5,9.5,2.5,0.42,138,9.95,1.81,11.82,2.15,ELITE,High-volume RB1/RB2: 42.5 Rush Yds + 2.5 Rec O/U in favorable script
Jordan Mason,MIN,GB,5400,7.81,16,,,GB@MIN,True,True,24.0,46.5,-1.5,True,1.5,14,NEUTRAL,20.1,106.2,0.78,34.5,7.5,1.5,0.309,224,7.15,1.32,7.53,1.39,AVERAGE,Committee rotation: 7.5 Carries O/U; TD-dependent fantasy output
Chris Rodriguez Jr.,JAC,CLE,5300,7.54,12,,,CLE@JAC,True,False,24.5,40.5,-8.5,True,8.5,11,FAVORABLE,21.0,101.2,0.81,37.5,8.0,1.5,0.298,236,7.35,1.39,9.67,1.83,AVERAGE,Committee rotation: 8.0 Carries O/U; TD-dependent fantasy output
Ollie Gordon II,MIA,LV,5200,2.98,17,Q,Ribs,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,23.5,6.5,1.0,0.18,456,4.7,0.9,5.23,1.0,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Brian Robinson Jr.,ATL,PIT,5200,3.14,19,,,ATL@PIT,False,False,19.5,42.5,3.5,False,-3.5,26,TOUGH,16.8,97.8,0.25,24.0,6.5,1.0,0.18,456,4.7,0.9,3.28,0.63,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Dylan Sampson,CLE,JAC,5100,4.74,15,,,CLE@JAC,False,False,16.0,40.5,8.5,False,-8.5,30,LOCKDOWN,15.7,66.6,0.51,22.5,6.5,1.0,0.187,435,4.6,0.9,1.57,0.31,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Kimani Vidal,LAC,ARI,5100,8.93,14,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,55.0,10.0,1.5,0.353,183,9.45,1.85,13.12,2.57,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Ty Johnson,BUF,HOU,5000,5.19,17,Q,Lower leg,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,28.5,6.5,1.0,0.205,388,5.3,1.06,3.72,0.74,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tyjae Spears,TEN,NYJ,5000,6.86,13,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,25.5,6.5,1.5,0.271,269,6.05,1.21,8.38,1.68,FADE,Limited touch share: Negative game script or secondary change-of-pace role
