name,team,opp,salary,sal_rank_overall,sal_pct_overall,injury,inj_details,db_status,db_proj,team_implied,game_ou,spread,fav_margin,is_fav,is_home,is_dome,opp_soft_rank,opp_tier,opp_tier_label,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,rec_yds_ou,atd_prob,atd_odds,fd_implied,blended_proj,final_composite,value_composite,value_db,vegas_grade,vegas_takeaway
MarShawn Lloyd,GB,MIN,4900,224,68.8,,,ACTIVE,12.58,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,49.5,11.5,3.0,22.5,0.497,101,11.7,12.05,10.78,2.2,2.57,ELITE,High-volume RB1/RB2: 49.5 Rush Yds + 3.0 Rec O/U in favorable script
Quinshon Judkins,CLE,JAC,6400,64,91.2,,,ACTIVE,13.15,16.0,40.5,8.5,-8.5,False,False,False,,,,,,,33.5,11.0,3.5,26.0,0.52,-108,10.85,11.77,10.64,1.66,2.05,ELITE,High-volume RB1/RB2: 33.5 Rush Yds + 3.5 Rec O/U in favorable script
Chuba Hubbard,CAR,CHI,5800,152,78.9,Q,Hamstring,QUESTIONABLE,11.46,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,44.5,10.5,2.5,19.0,0.453,121,10.35,10.79,10.57,1.82,1.98,ELITE,High-volume RB1/RB2: 44.5 Rush Yds + 2.5 Rec O/U in favorable script
Jonathon Brooks,CAR,CHI,5700,159,77.9,Q,General soreness,QUESTIONABLE,11.46,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,44.5,10.5,2.5,19.0,0.453,121,10.35,10.79,10.57,1.85,2.01,ELITE,High-volume RB1/RB2: 44.5 Rush Yds + 2.5 Rec O/U in favorable script
Chris Rodriguez Jr.,JAC,CLE,5300,188,73.9,,,ACTIVE,7.541666666666667,24.5,40.5,-8.5,8.5,True,True,False,11.0,FAVORABLE,Favorable Matchup,21.0,101.2,0.81,37.5,8.0,1.5,11.0,0.298,236,7.35,7.43,10.45,1.97,1.42,AVERAGE,Committee rotation: 8.0 Carries O/U; TD-dependent fantasy output
Aaron Jones Sr.,MIN,GB,5900,147,79.7,,,ACTIVE,10.29,24.0,46.5,-1.5,1.5,True,True,True,14.0,NEUTRAL,Neutral Matchup,20.1,106.2,0.78,46.0,10.0,2.0,15.0,0.407,146,9.5,9.82,10.2,1.73,1.74,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jeremiyah Love,ARI,LAC,5800,152,78.9,Q,Ankle,QUESTIONABLE,14.65,18.75,47.5,10.0,-10.0,False,False,False,29.0,LOCKDOWN,Brutal Lockdown,16.3,85.0,0.65,43.0,12.0,3.5,26.0,0.579,-138,12.15,13.15,10.07,1.74,2.53,ELITE,High-volume RB1/RB2: 43.0 Rush Yds + 3.5 Rec O/U in favorable script
Elijah Mitchell,PHI,WAS,4000,406,23.2,Q,Undisclosed,ACTIVE,0.0,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,50.0,10.5,2.0,15.0,0.395,153,9.9,5.94,9.46,2.37,0.0,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Mike Washington Jr.,LV,MIA,4500,277,61.0,,,ACTIVE,6.83,22.5,41.5,-3.5,3.5,True,True,True,8.0,FAVORABLE,Favorable Matchup,21.9,102.7,0.72,30.0,7.0,1.5,11.0,0.27,270,6.45,6.6,9.37,2.08,1.52,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Jaret Patterson,LAC,ARI,4100,367,47.3,,,ACTIVE,3.4571429661342075,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,35.5,6.5,1.0,7.5,0.18,456,5.9,4.92,9.29,2.27,0.84,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Jordan Mason,MIN,GB,5400,181,74.9,,,ACTIVE,8.75,24.0,46.5,-1.5,1.5,True,True,True,14.0,NEUTRAL,Neutral Matchup,20.1,106.2,0.78,39.0,8.5,2.0,15.0,0.346,189,8.5,8.6,8.98,1.66,1.62,AVERAGE,Committee rotation: 8.5 Carries O/U; TD-dependent fantasy output
Kimani Vidal,LAC,ARI,5100,204,71.7,,,ACTIVE,2.42,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,35.5,6.5,1.0,7.5,0.18,456,5.9,4.51,8.88,1.74,0.47,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Woody Marks,HOU,BUF,6200,74,89.9,,,ACTIVE,8.27,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,30.5,7.5,2.0,15.0,0.327,206,7.5,7.81,8.78,1.42,1.33,AVERAGE,Committee rotation: 7.5 Carries O/U; TD-dependent fantasy output
Bhayshul Tuten,JAC,CLE,6700,48,93.3,Q,Illness,ACTIVE,5.543749809265137,24.5,40.5,-8.5,8.5,True,True,False,11.0,FAVORABLE,Favorable Matchup,21.0,101.2,0.81,30.5,6.5,1.0,7.5,0.219,357,5.6,5.58,8.6,1.28,0.83,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tank Bigsby,PHI,WAS,4600,262,63.3,,,ACTIVE,4.25,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,31.0,6.5,1.0,7.5,0.18,456,5.4,4.94,8.46,1.84,0.92,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Michael Carter,TEN,NYJ,4200,336,52.1,,,ACTIVE,6.346153846153846,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,25.5,6.5,1.5,11.0,0.251,298,5.95,6.11,8.43,2.01,1.51,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jacory Croskey-Merritt,WAS,PHI,5700,159,77.9,Q,Lower body,ACTIVE,8.341176650103401,19.5,44.5,5.5,-5.5,False,False,False,12.0,FAVORABLE,Favorable Matchup,21.1,98.7,0.73,28.0,7.5,2.0,15.0,0.33,203,7.3,7.72,8.39,1.47,1.46,AVERAGE,Committee rotation: 7.5 Carries O/U; TD-dependent fantasy output
Alec Ingold,LAC,ARI,4100,367,47.3,,,ACTIVE,1.122222264607747,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,35.5,6.5,1.0,7.5,0.18,456,5.9,3.99,8.36,2.04,0.27,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Amar Johnson,LAC,ARI,4000,406,23.2,,,ACTIVE,0.800000011920929,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,35.5,6.5,1.0,7.5,0.18,456,5.9,3.86,8.23,2.06,0.2,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Justice Hill,BAL,IND,4400,296,58.6,,,ACTIVE,7.16,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,34.0,7.0,1.5,11.0,0.283,253,6.95,7.03,8.0,1.82,1.63,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Jordan Mims,PHI,WAS,4000,406,23.2,,,ACTIVE,2.8714286259242465,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,31.0,6.5,1.0,7.5,0.18,456,5.4,4.39,7.91,1.98,0.72,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Jawhar Jordan,HOU,BUF,4700,248,65.3,,,ACTIVE,7.300000190734863,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,28.5,7.0,1.5,11.0,0.289,246,6.45,6.79,7.76,1.65,1.55,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Gary Brightwell,CIN,TB,4000,406,23.2,,,ACTIVE,0.0,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,51.5,10.0,2.0,15.0,0.395,153,10.0,6.0,7.57,1.89,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Samaje Perine,CIN,TB,4800,234,67.2,,,ACTIVE,5.93,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,33.5,6.5,1.0,7.5,0.234,327,6.0,5.97,7.54,1.57,1.24,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Zavier Scott,CHI,CAR,4500,277,61.0,,,ACTIVE,3.220000076293945,25.25,47.5,-3.0,3.0,True,False,False,7.0,FAVORABLE,Favorable Matchup,22.4,108.1,1.02,31.5,6.5,1.0,7.5,0.18,456,5.5,4.59,7.52,1.67,0.72,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Carson Steele,PHI,WAS,4000,406,23.2,,,ACTIVE,1.569230739886944,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,31.0,6.5,1.0,7.5,0.18,456,5.4,3.87,7.39,1.85,0.39,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Sean Tucker,TB,CIN,5000,212,70.3,Q,Undisclosed,ACTIVE,5.317647148581112,23.5,50.5,3.5,-3.5,False,False,False,4.0,SMASH,Elite Smash Matchup,24.6,113.2,0.7,29.0,6.5,1.0,7.5,0.21,376,5.4,5.37,7.25,1.45,1.06,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Will Shipley,PHI,WAS,4100,367,47.3,,,ACTIVE,0.9400000254313152,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,31.0,6.5,1.0,7.5,0.18,456,5.4,3.62,7.14,1.74,0.23,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Rachaad White,WAS,PHI,5600,167,76.8,Q,Hamstring,ACTIVE,7.235294117647059,19.5,44.5,5.5,-5.5,False,False,False,12.0,FAVORABLE,Favorable Matchup,21.1,98.7,0.73,24.0,6.5,1.5,11.0,0.286,250,5.95,6.46,7.13,1.27,1.29,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Ameer Abdullah,JAC,CLE,4300,311,55.9,,,ACTIVE,2.146153816810021,24.5,40.5,-8.5,8.5,True,True,False,11.0,FAVORABLE,Favorable Matchup,21.0,101.2,0.81,30.5,6.5,1.0,7.5,0.18,456,5.4,4.1,7.12,1.66,0.5,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Dameon Pierce,PHI,WAS,4000,406,23.2,,,ACTIVE,0.7199999809265136,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,31.0,6.5,1.0,7.5,0.18,456,5.4,3.53,7.05,1.76,0.18,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
LeQuint Allen Jr.,JAC,CLE,4900,224,68.8,Q,Undisclosed,ACTIVE,1.2647058823529411,24.5,40.5,-8.5,8.5,True,True,False,11.0,FAVORABLE,Favorable Matchup,21.0,101.2,0.81,30.5,6.5,1.0,7.5,0.18,456,5.4,3.75,6.77,1.38,0.26,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Dare Ogunbowale,LV,MIA,4300,311,55.9,,,ACTIVE,1.7363636710427024,22.5,41.5,-3.5,3.5,True,True,True,8.0,FAVORABLE,Favorable Matchup,21.9,102.7,0.72,28.0,6.5,1.0,7.5,0.18,456,5.1,3.75,6.52,1.52,0.4,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Roschon Johnson,CHI,CAR,4200,336,52.1,,,ACTIVE,0.5666666825612386,25.25,47.5,-3.0,3.0,True,False,False,7.0,FAVORABLE,Favorable Matchup,22.4,108.1,1.02,31.5,6.5,1.0,7.5,0.18,456,5.5,3.53,6.46,1.54,0.13,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Lew Nichols,PIT,ATL,4000,406,23.2,,,ACTIVE,0.0,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,44.0,10.0,2.0,15.0,0.395,153,9.3,5.58,6.26,1.56,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Travis Homer,PIT,ATL,4000,406,23.2,,,ACTIVE,-0.0400000005960464,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,44.0,10.0,2.0,15.0,0.395,153,9.3,5.56,6.24,1.56,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Dylan Laube,LV,MIA,4300,311,55.9,,,ACTIVE,0.1294117675108068,22.5,41.5,-3.5,3.5,True,True,True,8.0,FAVORABLE,Favorable Matchup,21.9,102.7,0.72,28.0,6.5,1.0,7.5,0.18,456,5.1,3.11,5.88,1.37,0.03,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Ulysses Bentley IV,IND,BAL,4000,406,23.2,,,ACTIVE,0.0,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,38.0,9.0,2.5,19.0,0.395,153,9.35,5.61,5.83,1.46,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Chris Brooks,GB,MIN,4500,277,61.0,,,ACTIVE,7.59,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,30.0,7.0,1.5,11.0,0.3,233,6.65,7.03,5.76,1.28,1.69,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Audric Estime,NO,DET,4400,296,58.6,,,ACTIVE,8.419999694824218,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,28.5,7.0,2.0,15.0,0.333,200,7.3,7.75,5.58,1.27,1.91,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Raheem Blackshear,DET,NO,4000,406,23.2,Q,Undisclosed,ACTIVE,0.5333333333333333,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,35.0,6.5,1.0,7.5,0.18,456,5.8,3.69,5.51,1.38,0.13,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Julius Chestnut,TEN,NYJ,4000,406,23.2,,,ACTIVE,0.3076923076923077,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,25.5,6.5,1.0,7.5,0.18,456,4.9,3.06,5.38,1.34,0.08,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Kalel Mullings,TEN,NYJ,4000,406,23.2,,,ACTIVE,0.2333333293596903,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,25.5,6.5,1.0,7.5,0.18,456,4.9,3.03,5.35,1.34,0.06,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jacob Saylors,DET,NO,4000,406,23.2,,,ACTIVE,0.1100000023841858,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,35.0,6.5,1.0,7.5,0.18,456,5.8,3.52,5.34,1.33,0.03,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Sione Vaki,DET,NO,4100,367,47.3,,,ACTIVE,0.0666666676600774,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,35.0,6.5,1.0,7.5,0.18,456,5.8,3.51,5.33,1.3,0.02,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tahj Brooks,CIN,TB,4100,367,47.3,,,ACTIVE,0.737500011920929,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,33.5,6.5,1.0,7.5,0.18,456,5.7,3.72,5.29,1.29,0.18,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Josh Williams,TB,CIN,4000,406,23.2,,,ACTIVE,0.550000011920929,23.5,50.5,3.5,-3.5,False,False,False,4.0,SMASH,Elite Smash Matchup,24.6,113.2,0.7,29.0,6.5,1.0,7.5,0.18,456,5.2,3.34,5.22,1.3,0.14,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kendall Milton,CIN,TB,4000,406,23.2,,,ACTIVE,0.2000000029802322,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,33.5,6.5,1.0,7.5,0.18,456,5.7,3.5,5.07,1.27,0.05,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Rasheen Ali,BAL,IND,4200,336,52.1,,,ACTIVE,1.5153846740722656,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,31.5,6.5,1.0,7.5,0.18,456,5.5,3.91,4.88,1.16,0.36,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Jaylen Wright,MIA,LV,4900,224,68.8,,,ACTIVE,2.89,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,23.5,6.5,1.0,7.5,0.18,456,4.7,3.98,4.51,0.92,0.59,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jerome Ford,WAS,PHI,4000,406,23.2,Q,Hamstring,ACTIVE,2.353846183189979,19.5,44.5,5.5,-5.5,False,False,False,12.0,FAVORABLE,Favorable Matchup,21.1,98.7,0.73,24.0,6.5,1.0,7.5,0.18,456,4.7,3.76,4.43,1.11,0.59,FADE,Limited touch share: Negative game script or secondary change-of-pace role
British Brooks,HOU,BUF,4000,406,23.2,Q,Hand,ACTIVE,0.975000023841858,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,26.5,6.5,1.0,7.5,0.18,456,5.0,3.39,4.36,1.09,0.24,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Ollie Gordon II,MIA,LV,5200,196,72.8,Q,Ribs,QUESTIONABLE,2.15,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,23.5,6.5,1.0,7.5,0.18,456,4.7,3.68,4.21,0.81,0.41,FADE,Limited touch share: Negative game script or secondary change-of-pace role
DJ Giddens,IND,BAL,4500,277,61.0,,,ACTIVE,1.920000076293945,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,27.5,6.5,1.0,7.5,0.18,456,5.1,3.83,4.05,0.9,0.43,FADE,Limited touch share: Negative game script or secondary change-of-pace role
