id,name,pos,team,opp,salary,fppg,proj,team_implied,game_ou,spread,soft_rank
133104-93539,Michael Carter,RB,TEN,NYJ,4200,6.346153846153846,7.83,20.5,39.5,-1.5,1
133104-63907,Josh Oliver,TE,MIN,GB,4200,3.9583333333333335,3.68,24.0,46.5,-1.5,23
133104-112041,Isaiah Williams,WR,NYJ,TEN,4200,3.1499998910086497,3.78,19.0,39.5,1.5,5
133104-112101,Jared Wayne,WR,HOU,BUF,4200,3.0,1.5,21.5,44.5,1.5,28
133104-154124,Mitchell Evans,TE,CAR,CHI,4200,2.7642857687813893,2.41,22.25,47.5,3.0,20
133104-103966,Stone Smartt,TE,NO,DET,4200,1.7399999618530273,1.97,21.25,49.5,7.0,13
133104-226859,Darius Cooper,WR,PHI,WAS,4200,2.5166667302449546,4.17,25.0,44.5,-5.5,9
133104-102986,Elijah Higgins,TE,ARI,LAC,4200,2.873333231608073,1.0,18.75,47.5,10.0,28
133104-113228,Luke Musgrave,TE,GB,MIN,4200,2.7571427481515065,1.26,22.5,46.5,1.5,30
133104-87634,Blake Whiteheart,TE,CLE,JAC,4200,0.1749999970197677,1.0,16.0,40.5,8.5,16
133104-200291,Jackson Hawes,TE,BUF,HOU,4200,3.4384615971491885,3.63,23.0,44.5,-1.5,17
133104-88685,Austin Trammell,WR,JAC,CLE,4200,1.0166666507720947,1.0,24.5,40.5,-8.5,30
133104-85672,Terrace Marshall Jr.,WR,MIA,LV,4200,1.1199999809265138,1.0,19.0,41.5,3.5,13
133104-103083,Theo Wease Jr.,WR,LAC,ARI,4200,7.633333206176758,9.02,28.75,47.5,-10.0,19
133104-87815,Jeremy Ruckert,TE,NYJ,TEN,4200,2.723077040452224,2.75,19.0,39.5,1.5,10
133104-103187,Roschon Johnson,RB,CHI,CAR,4200,0.5666666825612386,3.72,25.25,47.5,-3.0,7
133104-128805,KeAndre Lambert-Smith,WR,LAC,ARI,4200,1.5111111534966364,2.9,28.75,47.5,-10.0,19
133104-201535,Kameron Johnson,WR,TB,CIN,4200,0.981249988079071,1.0,23.5,50.5,3.5,31
133104-120657,Kendre Miller,RB,NO,DET,4200,4.399999891008649,2.63,21.25,49.5,7.0,23
133104-93075,Hunter Long,TE,ARI,LAC,4200,3.7857142857142856,1.59,18.75,47.5,10.0,28
133104-42046,Durham Smythe,TE,BAL,IND,4100,0.942857129233224,2.72,25.5,47.5,-3.5,9
133104-79987,David Moore,WR,CAR,CHI,4100,0.7333333492279053,2.06,22.25,47.5,3.0,6
133104-83083,Justin Watson,WR,HOU,BUF,4100,1.5,1.0,21.5,44.5,1.5,28
133104-168076,Sione Vaki,RB,DET,NO,4100,0.0666666676600774,2.53,28.25,49.5,-7.0,19
133104-93391,Payne Durham,TE,TB,CIN,4100,0.3200000047683716,2.56,23.5,50.5,3.5,1
133104-63717,Alec Ingold,RB,LAC,ARI,4100,1.122222264607747,5.75,28.75,47.5,-10.0,2
133104-12526,Buffalo Bills,D,BUF,HOU,4100,6.105263157894737,7.14,23.0,44.5,-1.5,16
133104-94481,Deven Thompkins,WR,LV,MIA,4100,0.6714285441807338,1.0,22.5,41.5,-3.5,15
133104-89437,Tim Jones,WR,JAC,CLE,4100,1.0,1.0,24.5,40.5,-8.5,30
