Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133646-53729,QB,Mason,Mason Rudolph,Rudolph,2.8466666539510093,6,6000,ATL@PIT,PIT,ATL,,,,,,QB
133646-134655,QB,Hunter,Hunter Dekkers,Dekkers,,0,6000,NO@DET,NO,DET,,,,,,QB
133646-89628,QB,Davis,Davis Mills,Mills,11.59999974568685,6,6000,BUF@HOU,HOU,BUF,,,,,,QB
133646-6714,QB,Joe,Joe Flacco,Flacco,12.512307974008413,13,6000,TB@CIN,CIN,TB,,,,,,QB
133646-41562,QB,Nick,Nick Mullens,Mullens,-0.009999999776482582,4,6000,CLE@JAC,JAC,CLE,,,,,,QB
133646-135811,QB,Jalon,Jalon Daniels,Daniels,,0,6000,TB@CIN,TB,CIN,,,,,,QB
133646-187015,QB,Joey,Joey Aguilar,Aguilar,,0,6000,CLE@JAC,JAC,CLE,,,,,,QB
133646-184983,QB,Joe,Joe Fagnano,Fagnano,,0,6000,BAL@IND,BAL,IND,,,,,,QB
133646-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,BAL@IND,BAL,IND,IR,Undisclosed,,,,QB
133646-69304,QB,Kyle,Kyle Trask,Trask,-0.05000000074505806,4,6000,CHI@CAR,CAR,CHI,,,,,,QB
133646-166588,TE,Colston,Colston Loveland,Loveland,9.411110772026909,18,6000,CHI@CAR,CHI,CAR,,,,,,TE/FLEX
133646-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,NYJ@TEN,NYJ,TEN,,,,,,QB
133646-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.78000020980835,4,6000,NYJ@TEN,TEN,NYJ,Q,Biceps,,,,QB
133646-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,BUF@HOU,HOU,BUF,,,,,,QB
133646-92975,QB,Malik,Malik Cunningham,Cunningham,0.10000000149011612,1,6000,NO@DET,DET,NO,,,,,,QB
133646-154450,QB,Riley,Riley Leonard,Leonard,6.4,5,6000,BAL@IND,IND,BAL,,,,,,QB
133646-8023,QB,Josh,Josh Johnson,Johnson,8.793333053588867,3,6000,TB@CIN,CIN,TB,,,,,,QB
133646-53095,QB,Kyle,Kyle Allen,Allen,-0.15000000596046448,2,6000,BUF@HOU,BUF,HOU,,,,,,QB
133646-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,CLE@JAC,JAC,CLE,IR,Thumb,,,,QB
133646-92020,QB,Kenny,Kenny Pickett,Pickett,1.6200000445048015,6,6000,CHI@CAR,CAR,CHI,,,,,,QB
133646-128944,QB,Haynes,Haynes King,King,,0,6000,CHI@CAR,CAR,CHI,Q,Hamstring,,,,QB
133646-111557,QB,Spencer,Spencer Rattler,Rattler,11.515555487738716,9,6000,NO@DET,NO,DET,,,,,,QB
133646-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,NYJ@TEN,TEN,NYJ,,,,,,QB
133646-166892,QB,Drew,Drew Allar,Allar,,0,6000,ATL@PIT,PIT,ATL,,,,,,QB
133646-86518,WR,Khalil,Khalil Shakir,Shakir,8.811111450195312,18,5900,BUF@HOU,BUF,HOU,Q,Undisclosed,,,,WR/FLEX
133646-64555,WR,Calvin,Calvin Ridley,Ridley,5.971428462437221,7,5800,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133646-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.235294117647058,17,5800,CLE@JAC,JAC,CLE,Q,Hand,,,,WR/FLEX
133646-105646,TE,Sam,Sam LaPorta,LaPorta,9.655555725097656,9,5800,NO@DET,DET,NO,Q,Hip,,,,TE/FLEX
133646-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.081250190734863,16,5800,CHI@CAR,CAR,CHI,Q,Hamstring,,,,RB/FLEX
133646-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,9.72941140567555,17,5800,ATL@PIT,PIT,ATL,Q,Hamstring,,,,WR/FLEX
133646-158968,RB,Jonathon,Jonathon Brooks,Brooks,2,3,5700,CHI@CAR,CAR,CHI,Q,General soreness,,,,RB/FLEX
133646-129291,WR,Tank,Tank Dell,Dell,8.392857142857142,14,5700,BUF@HOU,HOU,BUF,IR,Knee - acl + mcl,,,,WR/FLEX
133646-90561,WR,Jerry,Jerry Jeudy,Jeudy,5.6294115851907165,17,5700,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133646-172675,WR,Jordyn,Jordyn Tyson,Tyson,,0,5700,NO@DET,NO,DET,IR,Hamstring,,,,WR/FLEX
133646-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,9.587499618530273,16,5700,CLE@JAC,CLE,JAC,,,,,,TE/FLEX
133646-129305,WR,Josh,Josh Downs,Downs,6.712500095367432,16,5600,BAL@IND,IND,BAL,Q,Calf,,,,WR/FLEX
133646-137530,TE,Tyler,Tyler Warren,Warren,8.852941176470589,17,5600,BAL@IND,IND,BAL,Q,Groin,,,,TE/FLEX
133646-183756,WR,Carnell,Carnell Tate,Tate,,0,5600,NYJ@TEN,TEN,NYJ,Q,Undisclosed,,,,WR/FLEX
133646-29253,WR,Keenan,Keenan Allen,Allen,8.288888719346788,18,5600,BAL@IND,IND,BAL,,,,,,WR/FLEX
133646-144102,RB,Kyle,Kyle Monangai,Monangai,8.331579107987253,19,5600,CHI@CAR,CHI,CAR,Q,Knee,,,,RB/FLEX
133646-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,9.988235473632812,17,5500,ATL@PIT,ATL,PIT,,,,,,TE/FLEX
133646-42104,RB,Alvin,Alvin Kamara,Kamara,7.654545177112926,11,5500,NO@DET,NO,DET,Q,Knee - mcl,,,,RB/FLEX
133646-90912,RB,Kenny,Kenny Gainwell,Gainwell,10.633332994249132,18,5500,TB@CIN,TB,CIN,,,,,,RB/FLEX
133646-147315,WR,Jayden,Jayden Higgins,Higgins,6.489473844829359,19,5500,BUF@HOU,HOU,BUF,IR,Knee - acl,,,,WR/FLEX
133646-86229,WR,Jahan,Jahan Dotson,Dotson,2.575000047683716,16,5400,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133646-120042,WR,Jalen,Jalen McMillan,McMillan,6.724999904632568,4,5400,TB@CIN,TB,CIN,Q,Knee,,,,WR/FLEX
